Country,M49 code,ISO-alpha3 code,UN Region,,,Unique UN Regions,,,Source
Colombia,170,COL,Latin America and the Caribbean,,,,,,
Ecuador,218,ECU,Latin America and the Caribbean,,,,,,
Falkland Islands (Malvinas),238,FLK,Latin America and the Caribbean,,,,,,
French Guiana,254,GUF,Latin America and the Caribbean,,,,,,
Guyana,328,GUY,Latin America and the Caribbean,,,,,,
Paraguay,600,PRY,Latin America and the Caribbean,,,,,,
Peru,604,PER,Latin America and the Caribbean,,,,,,
South Georgia and the South Sandwich Islands,239,SGS,Latin America and the Caribbean,,,,,,
Suriname,740,SUR,Latin America and the Caribbean,,,,,,
Uruguay,858,URY,Latin America and the Caribbean,,,,,,
Venezuela (Bolivarian Republic of),862,VEN,Latin America and the Caribbean,,,,,,
Bermuda,60,BMU,Northern America,,,,,,
Canada,124,CAN,Northern America,,,,,,
Greenland,304,GRL,Northern America,,,,,,
Saint Pierre and Miquelon,666,SPM,Northern America,,,,,,
United States of America,840,USA,Northern America,,,,,,
Antarctica,10,ATA,Northern America,,,,,,
Kazakhstan,398,KAZ,Central Asia,,,,,,
Kyrgyzstan,417,KGZ,Central Asia,,,,,,
Tajikistan,762,TJK,Central Asia,,,,,,
Turkmenistan,795,TKM,Central Asia,,,,,,
Uzbekistan,860,UZB,Central Asia,,,,,,
China,156,CHN,Eastern Asia,,,,,,
"China, Hong Kong Special Administrative Region",344,HKG,Eastern Asia,,,,,,
"China, Macao Special Administrative Region",446,MAC,Eastern Asia,,,,,,
Democratic People's Republic of Korea,408,PRK,Eastern Asia,,,,,,
Japan,392,JPN,Eastern Asia,,,,,,
Mongolia,496,MNG,Eastern Asia,,,,,,
Republic of Korea,410,KOR,Eastern Asia,,,,,,
Brunei Darussalam,96,BRN,South-eastern Asia,,,,,,
Cambodia,116,KHM,South-eastern Asia,,,,,,
Indonesia,360,IDN,South-eastern Asia,,,,,,
Lao People's Democratic Republic,418,LAO,South-eastern Asia,,,,,,
Malaysia,458,MYS,South-eastern Asia,,,,,,
Myanmar,104,MMR,South-eastern Asia,,,,,,
Philippines,608,PHL,South-eastern Asia,,,,,,
Singapore,702,SGP,South-eastern Asia,,,,,,
Thailand,764,THA,South-eastern Asia,,,,,,
Timor-Leste,626,TLS,South-eastern Asia,,,,,,
Viet Nam,704,VNM,South-eastern Asia,,,,,,
Afghanistan,4,AFG,Southern Asia,,,,,,
Bangladesh,50,BGD,Southern Asia,,,,,,
Bhutan,64,BTN,Southern Asia,,,,,,
India,356,IND,Southern Asia,,,,,,
Iran (Islamic Republic of),364,IRN,Southern Asia,,,,,,
Maldives,462,MDV,Southern Asia,,,,,,
Nepal,524,NPL,Southern Asia,,,,,,
Pakistan,586,PAK,Southern Asia,,,,,,
Sri Lanka,144,LKA,Southern Asia,,,,,,
Armenia,51,ARM,Western Asia,,,,,,
Azerbaijan,31,AZE,Western Asia,,,,,,
Bahrain,48,BHR,Western Asia,,,,,,
Cyprus,196,CYP,Western Asia,,,,,,
Georgia,268,GEO,Western Asia,,,,,,
Iraq,368,IRQ,Western Asia,,,,,,
Israel,376,ISR,Western Asia,,,,,,
Jordan,400,JOR,Western Asia,,,,,,
Kuwait,414,KWT,Western Asia,,,,,,
Lebanon,422,LBN,Western Asia,,,,,,
Oman,512,OMN,Western Asia,,,,,,
Qatar,634,QAT,Western Asia,,,,,,
Saudi Arabia,682,SAU,Western Asia,,,,,,
State of Palestine,275,PSE,Western Asia,,,,,,
Syrian Arab Republic,760,SYR,Western Asia,,,,,,
Türkiye,792,TUR,Western Asia,,,,,,
United Arab Emirates,784,ARE,Western Asia,,,,,,
Yemen,887,YEM,Western Asia,,,,,,
Belarus,112,BLR,Eastern Europe,,,,,,
Bulgaria,100,BGR,Eastern Europe,,,,,,
Czechia,203,CZE,Eastern Europe,,,,,,
Hungary,348,HUN,Eastern Europe,,,,,,
Poland,616,POL,Eastern Europe,,,,,,
Republic of Moldova,498,MDA,Eastern Europe,,,,,,
Romania,642,ROU,Eastern Europe,,,,,,
Russian Federation,643,RUS,Eastern Europe,,,,,,
Slovakia,703,SVK,Eastern Europe,,,,,,
Ukraine,804,UKR,Eastern Europe,,,,,,
Åland Islands,248,ALA,Northern Europe,,,,,,
Denmark,208,DNK,Northern Europe,,,,,,
Estonia,233,EST,Northern Europe,,,,,,
Faroe Islands,234,FRO,Northern Europe,,,,,,
Finland,246,FIN,Northern Europe,,,,,,
Guernsey,831,GGY,Northern Europe,,,,,,
Iceland,352,ISL,Northern Europe,,,,,,
Ireland,372,IRL,Northern Europe,,,,,,
Isle of Man,833,IMN,Northern Europe,,,,,,
Jersey,832,JEY,Northern Europe,,,,,,
Latvia,428,LVA,Northern Europe,,,,,,
Lithuania,440,LTU,Northern Europe,,,,,,
Norway,578,NOR,Northern Europe,,,,,,
Svalbard and Jan Mayen Islands,744,SJM,Northern Europe,,,,,,
Sweden,752,SWE,Northern Europe,,,,,,
United Kingdom of Great Britain and Northern Ireland,826,GBR,Northern Europe,,,,,,
Albania,8,ALB,Southern Europe,,,,,,
Andorra,20,AND,Southern Europe,,,,,,
Bosnia and Herzegovina,70,BIH,Southern Europe,,,,,,
Croatia,191,HRV,Southern Europe,,,,,,
Gibraltar,292,GIB,Southern Europe,,,,,,
Greece,300,GRC,Southern Europe,,,,,,
Holy See,336,VAT,Southern Europe,,,,,,
Italy,380,ITA,Southern Europe,,,,,,
Malta,470,MLT,Southern Europe,,,,,,
Montenegro,499,MNE,Southern Europe,,,,,,
North Macedonia,807,MKD,Southern Europe,,,,,,
Portugal,620,PRT,Southern Europe,,,,,,
San Marino,674,SMR,Southern Europe,,,,,,
Serbia,688,SRB,Southern Europe,,,,,,
Slovenia,705,SVN,Southern Europe,,,,,,
Spain,724,ESP,Southern Europe,,,,,,
Austria,40,AUT,Western Europe,,,,,,
Belgium,56,BEL,Western Europe,,,,,,
France,250,FRA,Western Europe,,,,,,
Germany,276,DEU,Western Europe,,,,,,
Liechtenstein,438,LIE,Western Europe,,,,,,
Luxembourg,442,LUX,Western Europe,,,,,,
Monaco,492,MCO,Western Europe,,,,,,
Netherlands (Kingdom of the),528,NLD,Western Europe,,,,,,
Switzerland,756,CHE,Western Europe,,,,,,
Australia,36,AUS,Oceania,,,,,,
Christmas Island,162,CXR,Oceania,,,,,,
Cocos (Keeling) Islands,166,CCK,Oceania,,,,,,
Heard Island and McDonald Islands,334,HMD,Oceania,,,,,,
New Zealand,554,NZL,Oceania,,,,,,
Norfolk Island,574,NFK,Oceania,,,,,,
Melanesia,54,,Oceania,,,,,,
Fiji,242,FJI,Oceania,,,,,,
New Caledonia,540,NCL,Oceania,,,,,,
Papua New Guinea,598,PNG,Oceania,,,,,,
Solomon Islands,90,SLB,Oceania,,,,,,
Vanuatu,548,VUT,Oceania,,,,,,
Micronesia,57,,Oceania,,,,,,
Guam,316,GUM,Oceania,,,,,,
Kiribati,296,KIR,Oceania,,,,,,
Marshall Islands,584,MHL,Oceania,,,,,,
Micronesia (Federated States of),583,FSM,Oceania,,,,,,
Nauru,520,NRU,Oceania,,,,,,
Northern Mariana Islands,580,MNP,Oceania,,,,,,
Palau,585,PLW,Oceania,,,,,,
United States Minor Outlying Islands,581,UMI,Oceania,,,,,,
Polynesia,61,,Oceania,,,,,,
American Samoa,16,ASM,Oceania,,,,,,
Cook Islands,184,COK,Oceania,,,,,,
French Polynesia,258,PYF,Oceania,,,,,,
Niue,570,NIU,Oceania,,,,,,
Pitcairn,612,PCN,Oceania,,,,,,
Samoa,882,WSM,Oceania,,,,,,
Tokelau,772,TKL,Oceania,,,,,,
Tonga,776,TON,Oceania,,,,,,
Tuvalu,798,TUV,Oceania,,,,,,
Wallis and Futuna Islands,876,WLF,Oceania,,,,,,
